experiment_id,publication,year,organism,base_strain,selection_condition,media,stressor,temperature_c,gene_name,gene,mutation_type,coding_effect,is_key_mutation,confidence,citation
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,deoA,b4382,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,fbaB,b2097,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,fbp,b4232,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,fruK,b2168,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glgA,b3429,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glgC,b3430,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glgP,b3428,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glmS,b3729,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glmU,b3730,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glpD,b3426,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glpE,b3425,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glpF,b3927,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,glpT,b2240,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,gltI,b0655,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,gltP,b4077,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,kup,b3747,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,manB,b2048,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,metA,b4013,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,metB,b3939,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,metH,b4019,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,mntH,b2392,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,mrdA,b0635,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,murA,b3189,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,nhaA,b0019,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,nupC,b2393,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,ompF,b0929,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,oppA,b1243,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,pheP,b0576,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,pta,b2297,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,pykF,b1676,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,rbsA,b3749,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,rbsB,b3751,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,rbsC,b3750,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,rbsD,b3748,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,rbsK,b3752,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,sdaC,b2796,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,spoT,b3650,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-42C-Tenaillon-ExpID740,Phaneuf 2019 ALEdb / Tenaillon 2012 Science (10.1126/science.1212986),2012,Escherichia coli,B REL606 (LTEE gen2000),glucose M9 minimal 42C thermal,DM25 glucose-limited (E. coli B),temperature,42,thrA,b0002,converged,convergent,True,high,ALEdb ExpID740 converged set; 113 lineages at 42C (Tenaillon 2012)
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,aceA,b4015,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,add,b1623,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,apt,b0469,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,asnS,b0930,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,dcuC,b0621,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,fabB,b2323,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,fdnI,b1476,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,folD,b0529,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,fucA,b2800,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
ALEdb-benzoate-ExpID940,Phaneuf 2019 ALEdb / Mancini 2016 AEM (10.1128/AEM.02736-16),2016,Escherichia coli,W3110,glucose M9 benzoate stress 37C,LB (rich) + benzoate,aromatic,37,gatA,b2094,converged,convergent,True,high,ALEdb ExpID940 converged set; benzoate tolerization in LBK (17 samples); aromatic-acid stress axis
